    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 5.125e-06 |
  2 |   2                3 3.855e-06 |
  3 |   3                5 3.958e-06 |
  4 |   3                8 4.257e-06 |
  5 |   4               13 4.615e-06 |
  6 |   4               22 5.116e-06 |
  7 |   5               36 5.728e-06 |
  8 |   5               60 6.620e-06 |
  9 |   5              100 8.087e-06 |
 10 |   6              167 1.077e-05 |
 11 |   6              279 4.246e-06 |
 12 |   6              465 4.150e-06 |
 13 |   7              777 6.046e-06 |
 14 |   7             1297 9.465e-06 |
 15 |   7             2165 1.510e-05 |
 16 |   7             3614 2.464e-05 |
 17 |   8             6031 6.792e-05 |
 18 |   8            10065 6.629e-05 |
 19 |   8            16795 1.622e-04 |
 20 |   8            28024 1.816e-04 |
 21 |   9            46758 3.299e-04 |
 22 |   9            78011 5.240e-04 |
 23 |   9           130089 8.859e-04 |
 24 |   9           216968 1.399e-03 |
 25 |   9           359706 2.525e-03 |
 26 |  10           597823 3.910e-03 |
 27 |  10           995046 6.312e-03 |
 28 |  10          1655498 1.058e-02 |
 29 |  10          2757259 1.783e-02 |
 30 |  10          4593012 3.007e-02 |
 31 |  11          7651017 5.088e-02 |
 32 |  11         12747967 8.264e-02 |
 33 |  11         21239691 1.348e-01 |
 34 |  12         35390165 2.303e-01 |
 35 |  12         58969547 3.748e-01 |
 36 |  12         98258424 6.320e-01 |
 37 |  13        163727428 1.046e+00 |
 38 |  13        272817267 1.747e+00 |
 39 |  13        454593881 2.909e+00 |
 40 |  14        757489987 4.832e+00 |
 41 |  14       1262204160 8.111e+00 |
 42 |  14       2114047092 1.359e+01 |
 43 |  15       3533472456 2.343e+01 |
 44 |  15       5898663878 3.779e+01 |
 45 |  15       9850621736 6.216e+01 |
 46 |  16      16352251531 1.032e+02 |
 47 |  16      27196767437 1.746e+02 |
 48 |  16      45288671397 2.880e+02 |
 49 |  16      75373390362 4.762e+02 |
 50 |  17     125557790155 7.950e+02 |
